field_name,display_label,group,category,category_label,source,data_type,unit,nullable,required,observed_min,observed_max,example_value,null_meaning,description
code,Geo code,identity,,,geo registry,text,code,no,yes,,,BD4001,,"Unique ID for the geo unit, e.g. BD4001. Must be stable and never reused."
name,Geo name,identity,,,geo registry,text,name,no,yes,,,Bagerhat,,Official English name of the district/upazila/union.
name_google,Name (map match),identity,,,geo registry,text,name,no,yes,,,Bagerhat,,Name used to match the map boundary. Usually identical to 'name'.
geo_level,Geo level,identity,,,geo registry,text,category,no,yes,,,district,,One of: district | upazila | union. Same schema supports all three.
parent,Parent code,identity,,,geo registry,text,code,yes,no,,,,blank = not applicable,"Code of the parent geo unit (blank for districts; district code for upazilas, etc.)."
climate_zone,Climate zone,identity,,,geo registry,text,category,no,yes,,,Coastal,,"One of: Barind, CHT, Coastal, Haor, Other, River & Char, River-Char"
lat,Latitude,identity,,,geo registry,decimal,degrees,no,yes,,,22.3288,,Centroid latitude in decimal degrees (e.g. 22.3288).
lon,Longitude,identity,,,geo registry,decimal,degrees,no,yes,,,89.744,,Centroid longitude in decimal degrees (e.g. 89.7440).
num_Currently_married_population,# Currently married population,indicator,marriage_child_marriage,Marriage & Child Marriage,BBS,integer,count,no,no,224704,8084754,900137,,# Currently married population
num_Currently_married_population_female,# Currently married population_female,indicator,marriage_child_marriage,Marriage & Child Marriage,BBS,integer,count,no,no,111155,3910477,465363,,# Currently married population_female
num_Currently_married_population_male,# Currently married population_male,indicator,marriage_child_marriage,Marriage & Child Marriage,BBS,integer,count,no,no,113549,4174277,434774,,# Currently married population_male
num_Divorced_population,# Divorced population,indicator,marriage_child_marriage,Marriage & Child Marriage,BBS,integer,count,no,no,1147,46181,6944,,# Divorced population
num_Divorced_population_female,# Divorced population_female,indicator,marriage_child_marriage,Marriage & Child Marriage,BBS,integer,count,no,no,827,35139,4988,,# Divorced population_female
num_Divorced_population_male,# Divorced population_male,indicator,marriage_child_marriage,Marriage & Child Marriage,BBS,integer,count,no,no,320,11042,1956,,# Divorced population_male
num_Female_Bangladeshi_National,# Female_Bangladeshi_National,indicator,religion_ethnicity,Religion & Ethnicity,BBS,integer,count,no,no,231109,4038340,890448,,# Female_Bangladeshi_National
num_Female_Buddhist,# Female_Buddhist,indicator,religion_ethnicity,Religion & Ethnicity,BBS,integer,count,no,no,8,183905,31,,# Female_Buddhist
num_Female_Christian,# Female_Christian,indicator,religion_ethnicity,Religion & Ethnicity,BBS,integer,count,no,no,33,31965,3010,,# Female_Christian
